,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
157,128,4,0.1,1.0,0.0,8.378028869628906e-05,6.615159678783607e-06
158,128,4,0.01,1.0,0.0,8.03232192993164e-05,9.0127268654994e-07
159,128,4,0.001,1.0,0.0,8.072853088378907e-05,1.6456064154374502e-06
160,128,4,0.0001,1.0,0.0,8.056163787841796e-05,1.170195693188479e-06
161,128,4,1e-05,1.0,0.0,7.998943328857422e-05,7.329190325231265e-07
162,128,4,1e-06,1.0,0.0,8.094310760498047e-05,2.8174782064661723e-06
163,128,4,1e-07,1.0,0.0,8.754730224609375e-05,1.4288733958174735e-05
164,128,4,1e-08,1.0,0.0,8.041858673095703e-05,1.5118445265281384e-06
165,128,4,1e-09,1.0,0.0,8.218288421630859e-05,6.808134265222115e-06
166,128,4,1e-10,1.0,0.0,8.037090301513672e-05,9.322745702751709e-07
167,128,4,10000.0,1.0,0.0,8.177757263183594e-05,3.3531519874094324e-06
168,128,4,100000000.0,1.0,0.0,8.111000061035156e-05,2.755359690321668e-06
169,128,16,1.0,1.0,0.0,8.819103240966796e-05,1.6567947056857764e-06
170,128,16,0.1,1.0,0.0,8.33749771118164e-05,2.3018199477839084e-06
171,128,16,0.01,1.0,0.0,8.473396301269531e-05,3.336497437388592e-06
172,128,16,0.001,1.0,0.0,8.270740509033203e-05,1.3336530943819995e-06
173,128,16,0.0001,1.0,0.0,8.511543273925781e-05,4.705974499311572e-06
174,128,16,1e-05,1.0,0.0,8.666515350341797e-05,9.113236369511302e-06
175,128,16,1e-06,1.0,0.0,8.976459503173828e-05,1.0311293459513134e-05
176,128,16,1e-07,1.0,0.0,8.244514465332032e-05,1.7119715758339158e-06
177,128,16,1e-08,1.0,0.0,8.206367492675781e-05,6.975526255763909e-07
178,128,16,1e-09,1.0,0.0,8.673667907714844e-05,1.0415263166008412e-05
179,128,16,1e-10,1.0,0.0,8.437633514404296e-05,3.789955608175058e-06
180,128,16,10000.0,1.0,0.0,8.335113525390626e-05,3.5606679349125806e-06
181,128,16,100000000.0,1.0,0.0,8.270740509033203e-05,1.6499185826106982e-06
