batch_size,workers,tasks,mean,std
4,16,16,0.0043980121612548825,0.008639551000650928
4,16,64,6.499290466308594e-05,9.535074087951849e-06
4,16,256,6.461143493652344e-05,7.926117998425523e-06
4,16,1024,6.837844848632813e-05,6.355364639872031e-06
4,64,16,0.00012383460998535156,9.562476724893552e-05
4,64,64,6.809234619140626e-05,6.234725619766675e-06
4,64,256,7.13348388671875e-05,5.346958570087485e-06
4,64,1024,8.339881896972657e-05,6.079253013861401e-06
4,256,16,9.431838989257813e-05,3.246788377012643e-05
4,256,64,8.759498596191406e-05,6.927444546082528e-06
4,256,256,0.0001644611358642578,3.854909192411418e-05
4,256,1024,0.0001533985137939453,2.4273119087357305e-05
4,1024,16,0.00011467933654785156,6.442474123846669e-05
4,1024,64,0.00015974044799804688,0.00011170748808429385
4,1024,256,0.00017108917236328126,2.3520980679841023e-05
4,1024,1024,0.0002757072448730469,6.537776537558497e-05
16,16,16,0.0001263141632080078,0.00012182731209218491
16,16,64,6.44683837890625e-05,9.474071570236858e-06
16,16,256,6.771087646484375e-05,8.74837008557548e-06
16,16,1024,7.572174072265626e-05,1.345204866695964e-05
16,64,16,9.641647338867187e-05,4.2264721830832466e-05
16,64,64,7.548332214355469e-05,4.019598658696671e-06
16,64,256,7.66754150390625e-05,7.70442546275906e-06
16,64,1024,9.288787841796876e-05,4.594988520296708e-06
16,256,16,9.42230224609375e-05,3.446889556165875e-05
16,256,64,9.136199951171875e-05,6.994081250232724e-06
16,256,256,0.00016345977783203126,3.630249943584463e-05
16,256,1024,0.00020418167114257812,3.6370392822275345e-05
16,1024,16,0.0001293182373046875,7.60313222750286e-05
16,1024,64,0.00011782646179199218,6.764368296167501e-06
16,1024,256,0.0002880096435546875,0.00010532284766951807
16,1024,1024,0.0002818584442138672,5.128901791078089e-05
64,16,16,0.00011248588562011719,9.799350491066297e-05
64,16,64,6.628036499023438e-05,8.571139628760477e-06
64,16,256,7.152557373046875e-05,6.999930503799056e-06
64,16,1024,7.848739624023437e-05,7.598636136969209e-06
64,64,16,0.00010609626770019531,5.8135621815637566e-05
64,64,64,8.23974609375e-05,8.132275649498022e-06
64,64,256,8.587837219238281e-05,5.813503514910954e-06
64,64,1024,0.00012450218200683595,1.2054081199130981e-05
64,256,16,0.00010857582092285156,4.666469832226395e-05
64,256,64,0.00010275840759277344,8.16631489764508e-06
64,256,256,0.00017652511596679687,3.752184301706774e-05
64,256,1024,0.00021367073059082032,2.8879724268772675e-05
64,1024,16,0.00014309883117675782,7.214112845526892e-05
64,1024,64,0.00016436576843261718,1.7343112186018806e-05
64,1024,256,0.00030770301818847654,0.00012202248903112246
64,1024,1024,0.00027146339416503904,5.810228976952011e-05
256,16,16,0.00011067390441894531,9.538619333729992e-05
256,16,64,6.737709045410157e-05,9.229724873557245e-06
256,16,256,7.243156433105469e-05,5.844708803575349e-06
256,16,1024,0.00015645027160644532,0.00014400548492683155
256,64,16,0.00010509490966796875,4.904784188156545e-05
256,64,64,8.192062377929688e-05,5.1613079558314545e-06
256,64,256,9.26971435546875e-05,6.456523031459128e-06
256,64,1024,0.00013637542724609375,1.6939468067485438e-05
256,256,16,0.00011162757873535156,5.086478089712884e-05
256,256,64,0.00011510848999023438,4.73103208725451e-06
256,256,256,0.00017070770263671875,3.5006797890358205e-05
256,256,1024,0.0001934528350830078,3.750378055998933e-06
256,1024,16,0.00014214515686035157,5.6998178758470434e-05
256,1024,64,0.00017142295837402344,2.4724363013617344e-05
256,1024,256,0.00029745101928710935,0.0001142896805251823
256,1024,1024,0.00027790069580078123,4.7689342166844436e-05
1024,16,16,0.00010685920715332031,8.678978599119803e-05
1024,16,64,6.852149963378906e-05,9.045589579734506e-06
1024,16,256,7.181167602539062e-05,8.321320755714316e-06
1024,16,1024,9.469985961914062e-05,1.1321644571102187e-05
1024,64,16,0.00010461807250976563,4.978723423254701e-05
1024,64,64,8.435249328613282e-05,4.5497361915117505e-06
1024,64,256,9.436607360839844e-05,4.479224611594154e-06
1024,64,1024,0.0001361846923828125,1.7435816557150944e-05
1024,256,16,0.00011429786682128906,5.428798899186276e-05
1024,256,64,0.00011663436889648437,9.84919818518749e-06
1024,256,256,0.0001761913299560547,2.9414708007459992e-05
1024,256,1024,0.00020055770874023439,9.274942391583487e-06
1024,1024,16,0.00014352798461914062,6.05496828424134e-05
1024,1024,64,0.00017571449279785156,2.2208533872623357e-05
1024,1024,256,0.0003314971923828125,0.0001758139146565442
1024,1024,1024,0.00022935867309570312,3.211950462862989e-05
