,bs,time_mean,time_std
0,4,0.0034142017364501955,0.009748764282519135
1,16,0.0001955270767211914,5.176978226599217e-06
2,64,0.0003320455551147461,9.199404895652738e-06
3,128,0.0003327608108520508,4.530015744226537e-06
4,256,0.0004536867141723633,2.772787574567641e-05
5,512,0.0004923343658447266,1.14505471460686e-05
